message,label
hotfix: fix critical null pointer exception in production auth service,urgent
security: patch CVE-2024-1234 remote code execution vulnerability,urgent
emergency rollback of payment processing service to v2.1.3,urgent
fix: production database connection pool exhaustion causing 503 errors,urgent
critical: fix memory leak in request handler causing OOM crashes,urgent
hotfix: correct broken SSL certificate validation bypassing security checks,urgent
security patch: prevent SQL injection in user search endpoint,urgent
incident: fix race condition causing data corruption in order processing,urgent
revert: undo migration that broke foreign key constraints in prod,urgent
hotfix: fix infinite loop in background job processor,urgent
critical security: rotate exposed API keys and update authentication,urgent
fix production bug: checkout fails for orders over $1000,urgent
emergency: disable broken OAuth provider causing login failures for all users,urgent
hotfix: fix crash when processing malformed UTF-8 input in parser,urgent
security: add missing CSRF protection to admin endpoints,urgent
critical fix: repair broken email notification delivery pipeline,urgent
patch: fix data loss bug in file upload when request times out,urgent
hotfix: resolve deadlock in database transaction during peak load,urgent
fix: prevent XSS vulnerability in user-generated content renderer,urgent
production emergency: fix broken deployment that took down all API servers,urgent
hotfix: correct off-by-one error in payment amount calculation,urgent
security: revoke compromised service account credentials immediately,urgent
critical: fix broken authentication allowing unauthenticated access to admin,urgent
hotfix: repair corrupted session tokens after key rotation,urgent
fix urgent: certificate expiry causing all HTTPS connections to fail,urgent
production: fix missing index causing full table scans timing out queries,urgent
hotfix: fix broken webhook signature validation accepting invalid requests,urgent
security hotfix: sanitize log output leaking user passwords in plaintext,urgent
critical: stop duplicate charge bug in subscription renewal flow,urgent
fix: resolve out-of-disk issue on primary database server,urgent
hotfix: repair broken CI/CD pipeline after infrastructure migration,urgent
security: patch prototype pollution vulnerability in config parser,urgent
critical bug: fix race condition dropping messages in queue processor,urgent
hotfix: fix null dereference crash on user logout,urgent
emergency: fix broken health checks causing pods to restart continuously,urgent
production fix: correct reversed greater/less-than check in rate limiter,urgent
hotfix: patch SSRF vulnerability in image proxy endpoint,urgent
security: prevent timing attack on token comparison in auth middleware,urgent
critical: fix broken database replication causing read replicas to serve stale data,urgent
hotfix: correct integer overflow in session expiry timestamp calculation,urgent
fix: resolve TLS handshake failures after OpenSSL upgrade,urgent
production hotfix: correct misconfigured firewall rules blocking valid traffic,urgent
security: remove hardcoded admin password accidentally committed to repo,urgent
critical: fix event loop blocking causing API request timeouts,urgent
hotfix: repair broken pagination returning duplicate records,urgent
fix production: disk encryption key derivation using wrong algorithm,urgent
security patch: update jwt library to fix signature bypass vulnerability,urgent
hotfix: fix crash in PDF export when document contains embedded fonts,urgent
critical: disable feature flag causing 500 errors for 20% of users,urgent
hotfix: fix broken password reset email links expiring immediately,urgent
feat: add user authentication with OAuth2 and JWT tokens,normal
fix: correct email validation regex rejecting valid addresses,normal
add: implement rate limiting middleware for public API endpoints,normal
update: bump numpy from 1.24 to 2.0 for performance improvements,normal
implement: add pagination support to /api/users endpoint,normal
fix: resolve 404 error when accessing nested resource routes,normal
add search functionality to product listing page with filters,normal
fix: correct timezone handling in event scheduling service,normal
implement: webhook delivery retry logic with exponential backoff,normal
fix: resolve memory usage regression introduced in v3.2.1,normal
add: support for multiple file uploads in attachment API,normal
fix: correct sorting order in leaderboard query,normal
feat: implement dark mode toggle with system preference detection,normal
fix: handle edge case when user has no billing address set,normal
add: GraphQL subscription for real-time notification delivery,normal
fix: resolve stale cache issue after profile picture update,normal
